Canada, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949       53            563766.59       627292.63      1191059.22
1940-1949       54            548715.57       615055.19      1163770.76
1940-1949       55            533582.81       602558.70      1136141.51
1940-1949       56            518237.46       589738.41      1107975.87
1940-1949       57            502121.58       574812.20      1076933.78
1940-1949       58            485077.33       557092.43      1042169.76
1940-1949       59            467369.25       537301.24      1004670.49
1940-1949       60            449391.00       516988.52       966379.53
1940-1949       61            431101.93       495972.65       927074.58
1940-1949       62            412917.67       474432.09       887349.76
1940-1949       63            395108.77       452659.73       847768.51
1940-1949       64            377524.76       430634.88       808159.64
1940-1949       65            359763.37       408153.73       767917.10
1940-1949       66            341955.20       385390.13       727345.33
1940-1949       67            324164.39       362493.42       686657.81
1940-1949       68            306387.71       339534.47       645922.18
1940-1949       69            288665.76       316651.24       605317.00
1940-1949       70            271091.93       293943.81       565035.74
1940-1949       71            253782.31       271508.26       525290.57
1940-1949       72            236415.35       249544.85       485960.20
1940-1949       73            218895.80       228210.90       447106.69
1940-1949       74            201434.45       207541.18       408975.63
1940-1949       75            184381.57       187477.86       371859.42
1940-1949       76            167756.91       168068.92       335825.82
1940-1949       77            151715.98       149706.62       301422.60
1940-1949       78            136398.44       132537.94       268936.39
1940-1949       79            121815.56       116512.98       238328.54
1940-1949       80            115671.00       103713.73       219384.72
1940-1949       81            102455.58        90281.29       192736.87
1940-1949       82             89536.23        77388.15       166924.38
1940-1949       83             76808.28        65053.77       141862.05
1940-1949       84             65078.36        53896.48       118974.84
1940-1949       85             54193.34        43937.27        98130.61
1940-1949       86             44254.98        35261.92        79516.90
1940-1949       87             35511.04        27728.15        63239.18
1940-1949       88             28165.02        21413.66        49578.67
1940-1949       89             21968.66        16170.25        38138.91
1940-1949       90             16769.82        11913.67        28683.49
1940-1949       91             12699.70         8771.36        21471.06
1940-1949       92              9484.67         6382.75        15867.42
1940-1949       93              6869.62         4494.94        11364.56
1940-1949       94              4885.17         3092.58         7977.76
1940-1949       95              3412.18         2118.07         5530.25
1940-1949       96              2327.14         1454.44         3781.58
1940-1949       97              1540.04          951.42         2491.46
1940-1949       98               991.07          600.46         1591.53
1940-1949       99               641.07          386.00         1027.07
1940-1949      100               401.48          238.34          639.82
1940-1949      101               242.74          140.31          383.05
1940-1949      102               144.08           82.40          226.47
1940-1949      103                85.46           48.14          133.60
1940-1949      104                50.33           26.31           76.64
1940-1949      105                28.56           13.43           41.98
1940-1949      106                14.81            8.01           22.82
1940-1949      107                 6.78            5.88           12.66
1940-1949      108                 3.35            3.85            7.20
1940-1949      109                 1.45            2.68            4.14
1940-1949      110+                0.97            6.06            7.02
1950-1959        0           1941610.36      2034212.30      3975822.66
1950-1959        1           1916344.45      2002523.80      3918868.25
1950-1959        2           1887210.95      1970127.66      3857338.61
1950-1959        3           1853481.28      1933538.11      3787019.40
1950-1959        4           1808546.15      1885764.40      3694310.55
1950-1959        5           1757358.88      1831941.40      3589300.29
1950-1959        6           1701495.94      1773439.36      3474935.31
1950-1959        7           1643847.10      1713259.12      3357106.22
1950-1959        8           1582908.93      1649666.93      3232575.86
1950-1959        9           1520918.27      1584866.69      3105784.96
1950-1959       10           1456890.12      1517912.88      2974803.00
1950-1959       11           1394828.86      1453007.78      2847836.64
1950-1959       12           1337851.10      1392376.81      2730227.90
1950-1959       13           1282355.31      1331766.05      2614121.36
1950-1959       14           1240106.49      1283891.13      2523997.62
1950-1959       15           1198119.94      1236395.83      2434515.77
1950-1959       16           1157449.93      1190509.06      2347958.99
1950-1959       17           1128436.51      1155670.85      2284107.36
1950-1959       18           1115714.61      1136311.43      2252026.04
1950-1959       19           1112457.71      1126090.39      2238548.10
1950-1959       20           1114962.61      1121783.64      2236746.25
1950-1959       21           1117372.78      1116827.41      2234200.19
1950-1959       22           1124699.33      1120024.33      2244723.66
1950-1959       23           1134710.86      1130967.94      2265678.80
1950-1959       24           1146764.18      1146981.82      2293746.00
1950-1959       25           1160431.87      1164478.89      2324910.75
1950-1959       26           1175662.45      1184853.01      2360515.46
1950-1959       27           1185507.23      1195839.52      2381346.76
1950-1959       28           1189985.48      1194818.84      2384804.31
1950-1959       29           1188976.84      1184476.37      2373453.22
1950-1959       30           1185860.21      1173348.72      2359208.93
1950-1959       31           1182283.91      1161776.05      2344059.96
1950-1959       32           1174977.11      1150296.57      2325273.68
1950-1959       33           1164583.23      1141866.41      2306449.64
1950-1959       34           1149902.35      1133263.18      2283165.53
1950-1959       35           1133247.40      1122381.37      2255628.77
1950-1959       36           1115567.90      1110762.26      2226330.16
1950-1959       37           1094746.33      1096540.32      2191286.64
1950-1959       38           1069770.70      1078345.69      2148116.39
1950-1959       39           1042818.54      1058186.37      2101004.91
1950-1959       40           1015488.55      1037986.83      2053475.39
1950-1959       41            987165.76      1016829.34      2003995.10
1950-1959       42            958137.93       994650.33      1952788.26
1950-1959       43            928744.79       971666.25      1900411.04
1950-1959       44            899262.80       947864.02      1847126.82
1950-1959       45            869561.35       923503.51      1793064.86
1950-1959       46            839615.47       898593.44      1738208.91
1950-1959       47            811428.93       873356.67      1684785.60
1950-1959       48            786013.21       847882.73      1633895.95
1950-1959       49            762608.28       822278.35      1584886.63
1950-1959       50            739489.66       796684.56      1536174.22
1950-1959       51            716711.83       771104.28      1487816.11
1950-1959       52            695254.31       746011.12      1441265.43
1950-1959       53            675219.23       721729.50      1396948.73
1950-1959       54            656289.87       698172.12      1354461.98
1950-1959       55            638021.67       675060.17      1313081.83
1950-1959       56            620573.48       652441.55      1273015.03
1950-1959       57            602756.52       630553.31      1233309.82
1950-1959       58            584067.96       609539.76      1193607.72
1950-1959       59            564944.66       589322.55      1154267.20
1950-1959       60            546361.91       569533.90      1115895.81
1950-1959       61            527707.54       549332.56      1077040.11
1950-1959       62            510610.49       531963.76      1042574.25
1950-1959       63            495861.01       518548.73      1014409.74
1950-1959       64            482405.88       507320.59       989726.47
1950-1959       65            468555.40       495704.10       964259.50
1950-1959       66            454318.10       484028.96       938347.06
1950-1959       67            439535.39       469543.35       909078.74
1950-1959       68            423837.68       450518.16       874355.84
1950-1959       69            407120.35       428143.66       835264.00
1950-1959       70            390287.41       405992.75       796280.16
1950-1959       71            373763.10       383768.12       757531.22
1950-1959       72            353694.38       359209.86       712904.24
1950-1959       73            328353.01       331735.11       660088.12
1950-1959       74            299808.59       302337.01       602145.60
1950-1959       75            271645.06       273156.19       544801.25
1950-1959       76            243479.91       243937.26       487417.18
1950-1959       77            217161.63       216226.29       433387.93
1950-1959       78            194300.15       191033.42       385333.57
1950-1959       79            173924.40       167789.80       341714.19
1950-1959       80            164614.68       149441.99       314056.67
1950-1959       81            145042.99       128987.97       274030.97
1950-1959       82            126537.78       110276.20       236813.98
1950-1959       83            108878.16        92746.43       201624.59
1950-1959       84             92449.90        76448.24       168898.14
1950-1959       85             77630.66        62451.67       140082.32
1950-1959       86             64467.19        50412.39       114879.59
1950-1959       87             52593.69        39722.18        92315.87
1950-1959       88             42303.39        30905.34        73208.72
1950-1959       89             33679.80        23747.58        57427.38
1950-1959       90             26285.70        17883.25        44168.94
1950-1959       91             20350.36        13245.04        33595.40
1950-1959       92             15280.03         9703.80        24983.83
1950-1959       93             11220.39         6816.61        18036.99
1950-1959       94              7947.17         4743.08        12690.25
1950-1959       95              5604.40         3231.81         8836.21
1950-1959       96              3878.12         2154.80         6032.92
1950-1959       97              2531.74         1367.42         3899.16
1950-1959       98              1564.08          823.15         2387.23
1950-1959       99               974.87          526.96         1501.83
1950-1959      100               587.24          320.41          907.65
1950-1959      101               344.22          196.55          540.78
1950-1959      102               210.62          120.32          330.94
1950-1959      103               128.86           71.57          200.43
1950-1959      104                78.71           44.96          123.67
1950-1959      105                46.64           29.67           76.32
1950-1959      106                30.33           17.77           48.10
1950-1959      107                20.08           10.96           31.04
1950-1959      108                14.18            9.22           23.40
1950-1959      109                 9.92            7.44           17.36
1950-1959      110+                8.31           16.08           24.39
1960-1969        0           2054804.61      2163743.24      4218547.85
1960-1969        1           2095701.13      2202508.76      4298209.89
1960-1969        2           2144745.91      2252059.16      4396805.07
1960-1969        3           2184360.84      2290732.48      4475093.32
1960-1969        4           2197690.66      2302807.85      4500498.51
1960-1969        5           2196590.76      2299007.40      4495598.16
1960-1969        6           2187829.48      2288664.78      4476494.27
1960-1969        7           2169023.94      2267591.73      4436615.67
1960-1969        8           2143492.78      2240781.68      4384274.46
1960-1969        9           2111942.02      2208075.54      4320017.56
1960-1969       10           2074838.48      2169969.76      4244808.24
1960-1969       11           2033093.66      2126566.51      4159660.17
1960-1969       12           1986171.56      2076514.98      4062686.54
1960-1969       13           1937847.70      2022901.31      3960749.01
1960-1969       14           1879606.31      1957247.26      3836853.58
1960-1969       15           1818509.03      1887468.31      3705977.35
1960-1969       16           1754070.37      1813718.86      3567789.23
1960-1969       17           1689700.49      1738715.77      3428416.27
1960-1969       18           1625836.93      1662543.98      3288380.91
1960-1969       19           1565681.82      1588480.94      3154162.76
1960-1969       20           1505169.33      1515448.85      3020618.18
1960-1969       21           1450055.00      1447828.27      2897883.27
1960-1969       22           1402108.01      1390197.32      2792305.33
1960-1969       23           1354605.15      1339235.77      2693840.92
1960-1969       24           1319274.22      1308093.82      2627368.04
1960-1969       25           1287548.25      1283760.34      2571308.59
1960-1969       26           1262005.49      1267440.86      2529446.34
1960-1969       27           1242756.96      1257870.21      2500627.17
1960-1969       28           1230635.51      1253427.62      2484063.13
1960-1969       29           1222524.70      1250560.26      2473084.96
1960-1969       30           1224320.28      1256918.55      2481238.83
1960-1969       31           1227816.43      1263818.66      2491635.10
1960-1969       32           1234770.00      1272778.17      2507548.17
1960-1969       33           1242575.54      1279894.72      2522470.26
1960-1969       34           1251041.85      1285123.96      2536165.80
1960-1969       35           1259782.13      1288143.65      2547925.78
1960-1969       36           1268243.93      1289190.52      2557434.45
1960-1969       37           1272803.13      1285708.59      2558511.72
1960-1969       38           1273258.42      1279883.22      2553141.64
1960-1969       39           1267110.83      1268958.46      2536069.29
1960-1969       40           1253625.84      1251308.29      2504934.12
1960-1969       41           1235663.76      1230229.11      2465892.87
1960-1969       42           1213322.52      1206266.21      2419588.73
1960-1969       43           1189891.75      1182153.50      2372045.25
1960-1969       44           1163992.92      1157069.80      2321062.72
1960-1969       45           1135556.28      1131305.56      2266861.84
1960-1969       46           1106484.87      1105948.65      2212433.52
1960-1969       47           1076721.94      1080773.12      2157495.07
1960-1969       48           1046364.00      1055053.71      2101417.71
1960-1969       49           1017053.18      1029957.22      2047010.40
1960-1969       50            989990.44      1006974.31      1996964.75
1960-1969       51            963502.01       983862.05      1947364.06
1960-1969       52            936047.31       959484.95      1895532.26
1960-1969       53            906811.14       932359.86      1839171.00
1960-1969       54            875801.79       902306.39      1778108.19
1960-1969       55            842936.78       869706.09      1712642.87
