Greece, Exposure to risk (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009       45            774848.39       758051.34      1532899.73
2000-2009       46            765148.59       748776.12      1513924.71
2000-2009       47            754550.90       739509.18      1494060.08
2000-2009       48            743154.22       729765.00      1472919.22
2000-2009       49            731097.53       719039.55      1450137.08
2000-2009       50            718260.15       706962.06      1425222.21
2000-2009       51            707018.95       695688.20      1402707.15
2000-2009       52            699412.50       687525.79      1386938.29
2000-2009       53            693048.40       680750.95      1373799.35
2000-2009       54            683849.93       670069.72      1353919.65
2000-2009       55            674568.06       658880.45      1333448.51
2000-2009       56            661560.36       644336.00      1305896.36
2000-2009       57            647176.92       627778.40      1274955.32
2000-2009       58            633314.71       611493.23      1244807.94
2000-2009       59            624375.72       599199.30      1223575.01
2000-2009       60            620276.04       591254.70      1211530.74
2000-2009       61            616232.72       582792.53      1199025.25
2000-2009       62            613901.81       575409.39      1189311.20
2000-2009       63            611924.10       568239.67      1180163.76
2000-2009       64            611910.13       562415.34      1174325.47
2000-2009       65            613951.94       559406.28      1173358.23
2000-2009       66            619368.76       558580.36      1177949.11
2000-2009       67            627042.52       558483.13      1185525.65
2000-2009       68            632947.20       557785.04      1190732.25
2000-2009       69            634419.41       553436.72      1187856.13
2000-2009       70            629803.91       543704.86      1173508.77
2000-2009       71            620352.10       529777.13      1150129.23
2000-2009       72            606551.48       511710.08      1118261.56
2000-2009       73            590788.90       491333.22      1082122.12
2000-2009       74            572630.49       466862.91      1039493.39
2000-2009       75            546858.65       436374.42       983233.08
2000-2009       76            514803.63       402512.76       917316.39
2000-2009       77            481830.12       367925.99       849756.11
2000-2009       78            446988.18       333700.91       780689.09
2000-2009       79            411038.52       298922.20       709960.73
2000-2009       80            377650.74       268327.42       645978.16
2000-2009       81            339811.40       233859.73       573671.13
2000-2009       82            303101.91       202608.44       505710.35
2000-2009       83            267214.49       174636.79       441851.28
2000-2009       84            234393.14       150218.09       384611.23
2000-2009       85            206606.36       129806.20       336412.56
2000-2009       86            181126.26       111457.05       292583.31
2000-2009       87            156981.97        94528.48       251510.45
2000-2009       88            134452.59        78969.75       213422.34
2000-2009       89            113352.05        64808.43       178160.48
2000-2009       90             93941.83        52605.75       146547.58
