Greece, Deaths (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2013       37               160.00          387.00          547.00
2010-2013       38               181.00          435.00          616.00
2010-2013       39               217.00          418.00          635.00
2010-2013       40               191.00          496.00          687.00
2010-2013       41               244.00          572.00          816.00
2010-2013       42               258.00          591.00          849.00
2010-2013       43               357.00          643.00         1000.00
2010-2013       44               368.00          737.00         1105.00
2010-2013       45               385.00          811.00         1196.00
2010-2013       46               403.00          854.00         1257.00
2010-2013       47               425.00          908.00         1333.00
2010-2013       48               468.00          988.00         1456.00
2010-2013       49               516.00         1094.00         1610.00
2010-2013       50               601.00         1186.00         1787.00
2010-2013       51               619.00         1300.00         1919.00
2010-2013       52               680.00         1419.00         2099.00
2010-2013       53               680.00         1527.00         2207.00
2010-2013       54               782.00         1691.00         2473.00
2010-2013       55               807.00         1769.00         2576.00
2010-2013       56               887.00         1965.00         2852.00
2010-2013       57               948.00         2214.00         3162.00
2010-2013       58              1010.00         2202.00         3212.00
2010-2013       59               989.00         2376.00         3365.00
2010-2013       60              1084.00         2500.00         3584.00
2010-2013       61              1113.00         2640.00         3753.00
2010-2013       62              1252.00         2820.00         4072.00
2010-2013       63              1344.00         2899.00         4243.00
2010-2013       64              1520.00         3319.00         4839.00
2010-2013       65              1700.00         3491.00         5191.00
2010-2013       66              1768.00         3676.00         5444.00
2010-2013       67              1679.00         3593.00         5272.00
2010-2013       68              1663.00         3400.00         5063.00
2010-2013       69              1883.00         3578.00         5461.00
2010-2013       70              2086.00         3875.00         5961.00
2010-2013       71              2568.00         4458.00         7026.00
2010-2013       72              3041.00         5104.00         8145.00
2010-2013       73              3446.00         5543.00         8989.00
2010-2013       74              3915.00         5949.00         9864.00
2010-2013       75              4573.00         6432.00        11005.00
2010-2013       76              5188.00         7300.00        12488.00
2010-2013       77              6034.00         7598.00        13632.00
2010-2013       78              6626.00         7887.00        14513.00
2010-2013       79              7342.00         8413.00        15755.00
2010-2013       80              8216.00         8932.00        17148.00
2010-2013       81              9403.00         9081.00        18484.00
2010-2013       82              9888.00         9316.00        19204.00
2010-2013       83             10597.00         9283.00        19880.00
2010-2013       84             11243.00         9276.00        20519.00
2010-2013       85             11308.00         8679.00        19987.00
2010-2013       86             10747.00         7930.00        18677.00
2010-2013       87             10079.00         7065.00        17144.00
2010-2013       88              9207.00         6077.00        15284.00
2010-2013       89              8500.00         5445.00        13945.00
2010-2013       90              7772.00         4909.00        12681.00
2010-2013       91              6632.00         4084.00        10716.00
2010-2013       92              5686.00         3292.00         8978.00
2010-2013       93              4695.00         2542.00         7237.00
2010-2013       94              3831.00         2104.00         5935.00
2010-2013       95              3422.00         1790.00         5212.00
2010-2013       96              2749.00         1474.00         4223.00
2010-2013       97              2216.00         1109.00         3325.00
2010-2013       98              1677.00          784.00         2461.00
2010-2013       99              1231.00          614.00         1845.00
2010-2013      100               919.06          340.37         1259.43
2010-2013      101               625.41          226.77          852.18
2010-2013      102               406.28          146.80          553.08
2010-2013      103               255.24           92.75          347.99
2010-2013      104               157.63           57.59          215.22
2010-2013      105                96.60           35.15          131.75
2010-2013      106                56.99           20.78           77.77
2010-2013      107                31.95           11.86           43.81
2010-2013      108                17.26            6.54           23.80
2010-2013      109                 9.38            3.52           12.90
2010-2013      110+                7.19            0.84            8.03
