Ireland, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       89              2846.00         1951.00         4797.00
1970-1979       90              2568.00         1698.00         4266.00
1970-1979       91              1876.00         1177.00         3053.00
1970-1979       92              1732.00         1086.00         2818.00
1970-1979       93              1412.00          842.00         2254.00
1970-1979       94              1109.00          617.00         1726.00
1970-1979       95               824.00          425.00         1249.00
1970-1979       96               724.00          325.00         1049.00
1970-1979       97               446.00          203.00          649.00
1970-1979       98               374.00          142.00          516.00
1970-1979       99               234.00           90.00          324.00
1970-1979      100                92.00           29.00          121.00
1970-1979      101                54.00           17.00           71.00
1970-1979      102                44.00           11.00           55.00
1970-1979      103                11.00            2.00           13.00
1970-1979      104                 8.00            2.00           10.00
1970-1979      105                 1.00            1.00            2.00
1970-1979      106                 0.00            0.00            0.00
1970-1979      107                 2.00            1.00            3.00
1970-1979      108                 1.00            0.00            1.00
1970-1979      109                 0.00            0.00            0.00
1970-1979      110+                0.00            0.00            0.00
1980-1989        0              2648.00         3427.00         6075.00
1980-1989        1               211.00          293.00          504.00
1980-1989        2               140.00          205.00          345.00
1980-1989        3               107.00          146.00          253.00
1980-1989        4               103.00          142.00          245.00
1980-1989        5                88.00          121.00          209.00
1980-1989        6                62.00          103.00          165.00
1980-1989        7                55.00          107.00          162.00
1980-1989        8                57.00          102.00          159.00
1980-1989        9                53.00          119.00          172.00
1980-1989       10                50.00          112.00          162.00
1980-1989       11                48.00           96.00          144.00
1980-1989       12                66.00           79.00          145.00
1980-1989       13                58.00          105.00          163.00
1980-1989       14                77.00          132.00          209.00
1980-1989       15                70.00          159.00          229.00
1980-1989       16               100.00          210.00          310.00
1980-1989       17               104.00          284.00          388.00
1980-1989       18               121.00          320.00          441.00
1980-1989       19               102.00          394.00          496.00
1980-1989       20               102.00          340.00          442.00
1980-1989       21               107.00          359.00          466.00
1980-1989       22                98.00          304.00          402.00
1980-1989       23               104.00          311.00          415.00
1980-1989       24                99.00          289.00          388.00
1980-1989       25                86.00          256.00          342.00
1980-1989       26                84.00          254.00          338.00
1980-1989       27                89.00          251.00          340.00
1980-1989       28               102.00          269.00          371.00
1980-1989       29                92.00          232.00          324.00
1980-1989       30               130.00          271.00          401.00
1980-1989       31               105.00          245.00          350.00
1980-1989       32               141.00          265.00          406.00
1980-1989       33               140.00          282.00          422.00
1980-1989       34               150.00          272.00          422.00
1980-1989       35               158.00          324.00          482.00
1980-1989       36               162.00          308.00          470.00
1980-1989       37               175.00          283.00          458.00
1980-1989       38               179.00          327.00          506.00
1980-1989       39               201.00          356.00          557.00
1980-1989       40               243.00          423.00          666.00
1980-1989       41               252.00          406.00          658.00
1980-1989       42               282.00          512.00          794.00
1980-1989       43               289.00          458.00          747.00
1980-1989       44               307.00          472.00          779.00
1980-1989       45               357.00          585.00          942.00
1980-1989       46               353.00          644.00          997.00
1980-1989       47               414.00          676.00         1090.00
1980-1989       48               426.00          747.00         1173.00
1980-1989       49               477.00          803.00         1280.00
1980-1989       50               646.00          997.00         1643.00
1980-1989       51               551.00          959.00         1510.00
1980-1989       52               670.00         1203.00         1873.00
1980-1989       53               727.00         1239.00         1966.00
1980-1989       54               848.00         1513.00         2361.00
1980-1989       55               898.00         1584.00         2482.00
1980-1989       56               961.00         1709.00         2670.00
1980-1989       57              1085.00         1992.00         3077.00
1980-1989       58              1240.00         2268.00         3508.00
1980-1989       59              1403.00         2318.00         3721.00
1980-1989       60              1626.00         2760.00         4386.00
1980-1989       61              1551.00         2675.00         4226.00
1980-1989       62              1974.00         3201.00         5175.00
1980-1989       63              1973.00         3391.00         5364.00
1980-1989       64              2177.00         3614.00         5791.00
1980-1989       65              2320.00         4167.00         6487.00
1980-1989       66              2536.00         4333.00         6869.00
1980-1989       67              2707.00         4440.00         7147.00
1980-1989       68              2995.00         5001.00         7996.00
1980-1989       69              3244.00         5074.00         8318.00
1980-1989       70              3702.00         5705.00         9407.00
1980-1989       71              3467.00         5388.00         8855.00
1980-1989       72              4113.00         6162.00        10275.00
1980-1989       73              4179.00         6235.00        10414.00
1980-1989       74              4581.00         6465.00        11046.00
1980-1989       75              4680.00         6487.00        11167.00
1980-1989       76              5073.00         6197.00        11270.00
1980-1989       77              4728.00         5835.00        10563.00
1980-1989       78              4987.00         5816.00        10803.00
1980-1989       79              5058.00         5639.00        10697.00
1980-1989       80              5894.00         5622.00        11516.00
1980-1989       81              5079.00         4739.00         9818.00
1980-1989       82              5612.00         4948.00        10560.00
1980-1989       83              5343.00         4436.00         9779.00
1980-1989       84              5503.00         4322.00         9825.00
1980-1989       85              4927.00         3508.00         8435.00
1980-1989       86              4935.00         3304.00         8239.00
1980-1989       87              4290.00         2840.00         7130.00
1980-1989       88              3776.00         2327.00         6103.00
1980-1989       89              3144.00         1950.00         5094.00
1980-1989       90              2865.00         1614.00         4479.00
1980-1989       91              2223.00         1201.00         3424.00
1980-1989       92              2115.00         1105.00         3220.00
1980-1989       93              1555.00          814.00         2369.00
1980-1989       94              1300.00          584.00         1884.00
1980-1989       95               985.00          433.00         1418.00
1980-1989       96               720.00          293.00         1013.00
1980-1989       97               546.00          220.00          766.00
1980-1989       98               401.00          157.00          558.00
1980-1989       99               242.00           76.00          318.00
1980-1989      100               151.00           30.00          181.00
1980-1989      101                95.00           18.00          113.00
1980-1989      102                47.00           14.00           61.00
1980-1989      103                23.00            5.00           28.00
1980-1989      104                21.00            2.00           23.00
1980-1989      105                12.00            3.00           15.00
1980-1989      106                 8.00            1.00            9.00
1980-1989      107                 1.00            1.00            2.00
1980-1989      108                 1.00            0.00            1.00
1980-1989      109                 0.00            0.00            0.00
1980-1989      110+                1.00            0.00            1.00
1990-1999        0              1430.00         1883.00         3313.00
1990-1999        1               112.00          129.00          241.00
1990-1999        2                71.00          105.00          176.00
1990-1999        3                65.00           90.00          155.00
1990-1999        4                51.00           59.00          110.00
1990-1999        5                33.00           59.00           92.00
1990-1999        6                31.00           61.00           92.00
1990-1999        7                30.00           64.00           94.00
1990-1999        8                27.00           57.00           84.00
1990-1999        9                37.00           49.00           86.00
1990-1999       10                42.00           53.00           95.00
1990-1999       11                42.00           72.00          114.00
1990-1999       12                38.00           76.00          114.00
1990-1999       13                56.00           87.00          143.00
1990-1999       14                55.00          109.00          164.00
1990-1999       15                75.00          126.00          201.00
1990-1999       16                82.00          189.00          271.00
1990-1999       17               111.00          233.00          344.00
1990-1999       18               103.00          331.00          434.00
1990-1999       19               105.00          375.00          480.00
1990-1999       20               107.00          364.00          471.00
1990-1999       21                99.00          357.00          456.00
1990-1999       22                90.00          368.00          458.00
1990-1999       23                88.00          361.00          449.00
1990-1999       24                87.00          369.00          456.00
1990-1999       25                92.00          331.00          423.00
1990-1999       26                96.00          285.00          381.00
1990-1999       27               100.00          310.00          410.00
1990-1999       28               105.00          304.00          409.00
1990-1999       29               117.00          307.00          424.00
1990-1999       30               125.00          298.00          423.00
1990-1999       31               116.00          276.00          392.00
1990-1999       32               113.00          292.00          405.00
1990-1999       33               161.00          320.00          481.00
1990-1999       34               159.00          313.00          472.00
1990-1999       35               160.00          360.00          520.00
1990-1999       36               193.00          323.00          516.00
1990-1999       37               200.00          292.00          492.00
1990-1999       38               200.00          366.00          566.00
1990-1999       39               225.00          371.00          596.00
1990-1999       40               253.00          400.00          653.00
1990-1999       41               253.00          448.00          701.00
1990-1999       42               306.00          481.00          787.00
1990-1999       43               345.00          518.00          863.00
1990-1999       44               360.00          545.00          905.00
1990-1999       45               398.00          614.00         1012.00
1990-1999       46               432.00          692.00         1124.00
1990-1999       47               479.00          702.00         1181.00
1990-1999       48               474.00          790.00         1264.00
1990-1999       49               525.00          802.00         1327.00
1990-1999       50               551.00          902.00         1453.00
1990-1999       51               560.00          872.00         1432.00
1990-1999       52               619.00         1064.00         1683.00
1990-1999       53               665.00         1061.00         1726.00
1990-1999       54               760.00         1190.00         1950.00
1990-1999       55               747.00         1301.00         2048.00
1990-1999       56               788.00         1424.00         2212.00
1990-1999       57               840.00         1584.00         2424.00
1990-1999       58               939.00         1711.00         2650.00
1990-1999       59              1019.00         1832.00         2851.00
1990-1999       60              1151.00         2031.00         3182.00
1990-1999       61              1178.00         2136.00         3314.00
1990-1999       62              1415.00         2491.00         3906.00
1990-1999       63              1552.00         2659.00         4211.00
1990-1999       64              1560.00         2905.00         4465.00
1990-1999       65              1783.00         3120.00         4903.00
1990-1999       66              2064.00         3390.00         5454.00
1990-1999       67              2199.00         3801.00         6000.00
1990-1999       68              2434.00         4003.00         6437.00
1990-1999       69              2851.00         4445.00         7296.00
1990-1999       70              3010.00         4779.00         7789.00
1990-1999       71              3089.00         4775.00         7864.00
1990-1999       72              3617.00         5407.00         9024.00
1990-1999       73              3848.00         5308.00         9156.00
1990-1999       74              4179.00         5686.00         9865.00
1990-1999       75              4518.00         5797.00        10315.00
1990-1999       76              4780.00         5929.00        10709.00
1990-1999       77              4944.00         5998.00        10942.00
1990-1999       78              5165.00         5920.00        11085.00
1990-1999       79              5401.00         6140.00        11541.00
1990-1999       80              5819.00         5936.00        11755.00
1990-1999       81              5643.00         5637.00        11280.00
1990-1999       82              5934.00         5490.00        11424.00
1990-1999       83              5853.00         5294.00        11147.00
1990-1999       84              5997.00         4734.00        10731.00
1990-1999       85              5567.00         4275.00         9842.00
1990-1999       86              5464.00         3898.00         9362.00
1990-1999       87              4947.00         3159.00         8106.00
1990-1999       88              4476.00         2621.00         7097.00
1990-1999       89              4303.00         2228.00         6531.00
1990-1999       90              3675.00         1827.00         5502.00
1990-1999       91              3100.00         1455.00         4555.00
1990-1999       92              2770.00         1179.00         3949.00
1990-1999       93              2179.00          839.00         3018.00
1990-1999       94              1735.00          647.00         2382.00
1990-1999       95              1358.00          478.00         1836.00
1990-1999       96              1027.00          339.00         1366.00
1990-1999       97               750.00          251.00         1001.00
1990-1999       98               544.00          154.00          698.00
1990-1999       99               379.00           77.00          456.00
1990-1999      100               210.00           57.00          267.00
1990-1999      101               135.00           44.00          179.00
1990-1999      102                88.00           19.00          107.00
1990-1999      103                58.00            6.00           64.00
1990-1999      104                33.00            3.00           36.00
1990-1999      105                12.00            6.00           18.00
1990-1999      106                10.00            2.00           12.00
1990-1999      107                 4.00            0.00            4.00
1990-1999      108                 3.00            0.00            3.00
1990-1999      109                 0.00            0.00            0.00
1990-1999      110+                1.00            0.00            1.00
2000-2009        0              1251.00         1596.00         2847.00
2000-2009        1               101.00          128.00          229.00
2000-2009        2                53.00           80.00          133.00
2000-2009        3                38.00           53.00           91.00
2000-2009        4                39.00           36.00           75.00
2000-2009        5                33.00           39.00           72.00
2000-2009        6                27.00           31.00           58.00
2000-2009        7                21.00           40.00           61.00
2000-2009        8                25.00           20.00           45.00
2000-2009        9                16.00           47.00           63.00
2000-2009       10                24.00           35.00           59.00
2000-2009       11                26.00           40.00           66.00
2000-2009       12                25.00           40.00           65.00
2000-2009       13                51.00           45.00           96.00
2000-2009       14                47.00           69.00          116.00
2000-2009       15                61.00          108.00          169.00
2000-2009       16                56.00          135.00          191.00
2000-2009       17                76.00          203.00          279.00
2000-2009       18                91.00          291.00          382.00
2000-2009       19               127.00          326.00          453.00
2000-2009       20                92.00          341.00          433.00
2000-2009       21                97.00          354.00          451.00
2000-2009       22                99.00          340.00          439.00
2000-2009       23                99.00          351.00          450.00
2000-2009       24               102.00          343.00          445.00
2000-2009       25               109.00          324.00          433.00
2000-2009       26               110.00          356.00          466.00
2000-2009       27               110.00          360.00          470.00
2000-2009       28               105.00          336.00          441.00
2000-2009       29               129.00          358.00          487.00
2000-2009       30               129.00          364.00          493.00
2000-2009       31               141.00          312.00          453.00
