Spain, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1930-1939       71             20443.26        24198.24        44641.50
1930-1939       72             36542.15        38692.95        75235.10
1930-1939       73             29682.08        33409.92        63092.00
1930-1939       74             34185.71        34975.89        69161.60
1930-1939       75             40717.77        39190.04        79907.81
1930-1939       76             33880.00        32685.26        66565.26
1930-1939       77             29593.19        30086.21        59679.40
1930-1939       78             38769.55        34557.30        73326.85
1930-1939       79             21994.04        21033.24        43027.28
1930-1939       80             51063.34        34233.73        85297.07
1930-1939       81             18229.86        15514.57        33744.43
1930-1939       82             29196.39        21891.18        51087.57
1930-1939       83             20973.02        16358.22        37331.24
1930-1939       84             27168.19        18849.24        46017.43
1930-1939       85             24483.11        15686.47        40169.58
1930-1939       86             19741.89        12630.71        32372.60
1930-1939       87             15232.11         9348.83        24580.94
1930-1939       88             14911.10         8897.51        23808.61
1930-1939       89              9654.70         5543.17        15197.87
1930-1939       90             14485.63         6194.07        20679.70
1930-1939       91              4288.96         2198.20         6487.16
1930-1939       92              5786.18         2670.50         8456.68
1930-1939       93              3999.49         1834.00         5833.49
1930-1939       94              3599.82         1582.66         5182.48
1930-1939       95              3442.16         1234.70         4676.86
1930-1939       96              2874.13         1006.13         3880.26
1930-1939       97              1916.48          662.40         2578.88
1930-1939       98              1816.75          633.57         2450.32
1930-1939       99               998.37          323.65         1322.02
1930-1939      100               805.50          175.37          980.87
1930-1939      101               251.19           59.62          310.81
1930-1939      102               238.05           49.42          287.47
1930-1939      103               154.31           27.72          182.03
1930-1939      104                98.56           18.17          116.73
1930-1939      105                87.45           17.39          104.84
1930-1939      106                39.97            7.49           47.46
1930-1939      107                28.13            5.25           33.38
1930-1939      108                15.41            3.15           18.56
1930-1939      109                 8.06            3.06           11.12
1930-1939      110+               19.10            4.02           23.12
1940-1949        0            258416.52       316532.08       574948.60
1940-1949        1             54016.77        57502.71       111519.48
1940-1949        2             25656.03        27516.35        53172.38
1940-1949        3             15245.14        16565.97        31811.11
1940-1949        4             11024.52        12202.02        23226.54
1940-1949        5              8426.11         9463.47        17889.58
1940-1949        6              7117.62         7742.34        14859.96
1940-1949        7              5877.11         6903.38        12780.49
1940-1949        8              5000.46         5857.49        10857.95
1940-1949        9              4717.24         5550.40        10267.64
1940-1949       10              4406.79         5339.40         9746.19
1940-1949       11              4489.95         5135.42         9625.37
1940-1949       12              4809.40         5294.35        10103.75
1940-1949       13              4962.85         5226.48        10189.33
1940-1949       14              5863.76         6058.48        11922.24
1940-1949       15              6133.81         6196.42        12330.23
1940-1949       16              6975.34         7042.17        14017.51
1940-1949       17              7999.66         8570.43        16570.09
1940-1949       18              8974.10        11239.06        20213.16
1940-1949       19              8385.18        11107.06        19492.24
1940-1949       20              9148.88        12969.07        22117.95
1940-1949       21              8426.22        13554.77        21980.99
1940-1949       22             10128.92        14957.99        25086.91
1940-1949       23              9912.71        14860.65        24773.36
1940-1949       24              9597.11        14586.65        24183.76
1940-1949       25              9462.55        14466.33        23928.88
1940-1949       26              9576.08        13731.70        23307.78
1940-1949       27              9261.80        13761.20        23023.00
1940-1949       28              9755.30        13995.01        23750.31
1940-1949       29              7962.62        12169.62        20132.24
1940-1949       30             10123.26        13681.99        23805.25
1940-1949       31              6665.00        10580.34        17245.34
1940-1949       32              9043.64        13365.21        22408.85
1940-1949       33              8758.26        13248.96        22007.22
1940-1949       34              8364.55        12396.07        20760.62
1940-1949       35              9161.98        13165.21        22327.19
1940-1949       36              8950.77        13084.49        22035.26
1940-1949       37              8412.28        12264.75        20677.03
1940-1949       38              9698.03        13569.72        23267.75
1940-1949       39              7879.92        12207.51        20087.43
1940-1949       40             11659.16        16018.89        27678.05
1940-1949       41              6875.63        11402.62        18278.25
1940-1949       42              9920.97        15640.84        25561.81
1940-1949       43              8422.11        13519.94        21942.05
1940-1949       44              9008.95        14410.48        23419.43
1940-1949       45             11027.01        17323.42        28350.43
1940-1949       46              9564.24        15537.69        25101.93
1940-1949       47              9378.84        15301.43        24680.27
1940-1949       48             11147.51        17316.55        28464.06
1940-1949       49              9324.66        15570.28        24894.94
1940-1949       50             14396.67        21093.16        35489.83
1940-1949       51              8206.15        14652.28        22858.43
1940-1949       52             12578.12        20164.08        32742.20
1940-1949       53             10940.82        18545.75        29486.57
1940-1949       54             12655.52        19755.63        32411.15
1940-1949       55             13835.82        21500.65        35336.47
1940-1949       56             14710.43        22101.98        36812.41
1940-1949       57             12848.11        20401.22        33249.33
1940-1949       58             16826.89        24431.36        41258.25
1940-1949       59             14052.75        22493.05        36545.80
1940-1949       60             25132.57        31669.43        56802.00
