Japan, Deaths (period 1x10), 	Last modified: 12 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1980-1989       34              6254.19        10470.21        16724.40
1980-1989       35              6593.28        11406.09        17999.37
1980-1989       36              7241.39        12444.08        19685.47
1980-1989       37              7893.51        13510.09        21403.60
1980-1989       38              8364.58        15068.49        23433.07
1980-1989       39              9177.75        16232.55        25410.30
1980-1989       40              9700.84        17747.68        27448.52
1980-1989       41             10125.91        18144.97        28270.88
1980-1989       42             10454.99        19581.30        30036.29
1980-1989       43             11415.19        20875.54        32290.73
1980-1989       44             12630.41        23416.81        36047.22
1980-1989       45             13358.56        26266.38        39624.94
1980-1989       46             14404.74        28305.02        42709.76
1980-1989       47             15731.98        31218.39        46950.37
1980-1989       48             17024.25        33398.25        50422.50
1980-1989       49             18237.49        36301.98        54539.47
1980-1989       50             19676.74        39707.11        59383.85
1980-1989       51             21476.11        43593.73        65069.84
1980-1989       52             22573.29        46926.81        69500.10
1980-1989       53             23734.55        50010.66        73745.21
1980-1989       54             25251.80        52744.35        77996.15
1980-1989       55             26596.07        55720.11        82316.18
1980-1989       56             28056.30        57603.90        85660.20
1980-1989       57             29470.60        58895.34        88365.94
1980-1989       58             31182.93        59449.95        90632.88
1980-1989       59             32710.24        60570.10        93280.34
1980-1989       60             34984.66        61889.27        96873.93
1980-1989       61             37052.03        62507.85        99559.88
1980-1989       62             38892.40        63526.58       102418.98
1980-1989       63             41562.92        65387.82       106950.74
1980-1989       64             43826.35        67360.11       111186.46
1980-1989       65             46736.85        69926.16       116663.01
1980-1989       66             50415.55        73765.47       124181.02
1980-1989       67             53769.19        78562.46       132331.65
1980-1989       68             58310.04        84348.42       142658.46
1980-1989       69             63442.04        90268.65       153710.69
1980-1989       70             68255.99        96404.23       164660.22
1980-1989       71             74674.20       103421.59       178095.79
1980-1989       72             80698.37       110194.73       190893.10
1980-1989       73             87022.60       116250.28       203272.88
1980-1989       74             92971.75       121309.06       214280.81
1980-1989       75             99429.98       124935.59       224365.57
1980-1989       76            104903.03       127557.04       232460.07
1980-1989       77            111421.18       130729.92       242151.10
1980-1989       78            117465.30       131730.98       249196.28
1980-1989       79            122699.29       130449.79       253149.08
1980-1989       80            125703.82       127974.48       253678.30
1980-1989       81            127452.19       123185.18       250637.37
1980-1989       82            128694.52       116698.61       245393.13
1980-1989       83            126272.13       107973.27       234245.40
1980-1989       84            124720.84        99735.18       224456.02
1980-1989       85            119601.84        90423.00       210024.84
1980-1989       86            112528.46        79416.09       191944.55
1980-1989       87            102704.54        67849.72       170554.26
1980-1989       88             91684.49        56767.70       148452.19
1980-1989       89             79497.19        46585.54       126082.73
1980-1989       90             67772.89        37415.17       105188.06
1980-1989       91             56964.86        29004.51        85969.37
1980-1989       92             45350.62        22025.17        67375.79
1980-1989       93             35703.80        15906.57        51610.37
1980-1989       94             27116.17        11313.34        38429.51
1980-1989       95             19738.76         7921.25        27660.01
1980-1989       96             13930.65         5230.82        19161.47
1980-1989       97              9681.85         3480.22        13162.07
1980-1989       98              6593.25         2160.00         8753.25
1980-1989       99              4220.80         1383.28         5604.08
1980-1989      100              2578.50          783.73         3362.23
1980-1989      101              1564.28          458.41         2022.69
1980-1989      102               911.18          230.23         1141.41
1980-1989      103               548.10          137.14          685.24
1980-1989      104               277.00           61.03          338.03
1980-1989      105               142.00           36.01          178.01
1980-1989      106                79.00           14.00           93.00
1980-1989      107                40.00            3.00           43.00
1980-1989      108                 7.00            5.00           12.00
1980-1989      109                12.00            1.00           13.00
1980-1989      110+                6.00            2.00            8.00
1990-1999        0             22014.80        27353.04        49367.84
1990-1999        1              3634.77         4510.78         8145.55
1990-1999        2              2036.45         2624.78         4661.23
1990-1999        3              1469.32         2138.24         3607.56
1990-1999        4              1228.24         1717.80         2946.04
1990-1999        5              1085.24         1570.67         2655.91
1990-1999        6               945.22         1513.57         2458.79
1990-1999        7               951.23         1393.47         2344.70
1990-1999        8               771.20         1137.21         1908.41
1990-1999        9               713.17         1090.16         1803.33
1990-1999       10               690.17         1028.10         1718.27
1990-1999       11               718.20         1043.14         1761.34
1990-1999       12               792.20         1191.27         1983.47
1990-1999       13               878.19         1435.52         2313.71
1990-1999       14               973.22         1727.86         2701.08
1990-1999       15              1191.24         2271.40         3462.64
1990-1999       16              1604.37         4067.29         5671.66
1990-1999       17              1780.36         5195.44         6975.80
1990-1999       18              2185.47         6338.64         8524.11
1990-1999       19              2441.57         7124.53         9566.10
1990-1999       20              2569.56         7017.42         9586.98
1990-1999       21              2658.58         6887.32         9545.90
1990-1999       22              2656.57         6821.29         9477.86
1990-1999       23              2620.57         6774.30         9394.87
1990-1999       24              2595.58         6512.04         9107.62
1990-1999       25              2614.55         6537.09         9151.64
1990-1999       26              2720.59         6246.74         8967.33
1990-1999       27              2767.60         5978.50         8746.10
1990-1999       28              2878.66         6176.68         9055.34
1990-1999       29              2998.65         6284.82         9283.47
1990-1999       30              3146.70         6203.72         9350.42
1990-1999       31              3352.72         6281.81         9634.53
1990-1999       32              3472.78         6552.10        10024.88
1990-1999       33              3670.79         6713.24        10384.03
1990-1999       34              3878.84         7184.78        11063.62
1990-1999       35              4304.95         7697.27        12002.22
1990-1999       36              4460.00         8387.96        12847.96
1990-1999       37              4856.05         9220.83        14076.88
1990-1999       38              5559.20        10149.85        15709.05
1990-1999       39              6205.35        11277.94        17483.29
1990-1999       40              7175.57        13090.80        20266.37
1990-1999       41              8200.78        14873.65        23074.43
1990-1999       42              9614.09        17285.16        26899.25
1990-1999       43             10930.40        19647.71        30578.11
1990-1999       44             11718.61        21732.29        33450.90
1990-1999       45             12909.87        24070.03        36979.90
1990-1999       46             14186.07        26947.04        41133.11
1990-1999       47             15578.37        29769.04        45347.41
1990-1999       48             17001.71        32751.27        49752.98
1990-1999       49             18547.03        35584.60        54131.63
