Slovenia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2014       54               196.00          485.00          681.00
2010-2014       55               237.00          590.00          827.00
2010-2014       56               280.00          597.00          877.00
2010-2014       57               336.00          741.00         1077.00
2010-2014       58               323.00          772.00         1095.00
2010-2014       59               342.00          834.00         1176.00
2010-2014       60               342.00          900.00         1242.00
2010-2014       61               417.00          891.00         1308.00
2010-2014       62               398.00          867.00         1265.00
2010-2014       63               384.00          875.00         1259.00
2010-2014       64               404.00          897.00         1301.00
2010-2014       65               392.00          821.00         1213.00
2010-2014       66               404.00          878.00         1282.00
2010-2014       67               431.00          896.00         1327.00
2010-2014       68               496.00          889.00         1385.00
2010-2014       69               547.00         1009.00         1556.00
2010-2014       70               613.00         1100.00         1713.00
2010-2014       71               635.00         1223.00         1858.00
2010-2014       72               687.00         1155.00         1842.00
2010-2014       73               771.00         1301.00         2072.00
2010-2014       74               870.00         1307.00         2177.00
2010-2014       75               924.00         1365.00         2289.00
2010-2014       76              1144.00         1436.00         2580.00
2010-2014       77              1217.00         1378.00         2595.00
2010-2014       78              1410.00         1500.00         2910.00
2010-2014       79              1605.00         1561.00         3166.00
2010-2014       80              1727.00         1622.00         3349.00
2010-2014       81              1899.00         1658.00         3557.00
2010-2014       82              2016.00         1542.00         3558.00
2010-2014       83              2078.00         1592.00         3670.00
2010-2014       84              2267.00         1343.00         3610.00
2010-2014       85              2292.00         1251.00         3543.00
2010-2014       86              2346.00         1158.00         3504.00
2010-2014       87              2403.00         1057.00         3460.00
2010-2014       88              2327.00          874.00         3201.00
2010-2014       89              2172.00          741.00         2913.00
2010-2014       90              1870.00          661.00         2531.00
2010-2014       91              1593.00          548.00         2141.00
2010-2014       92              1289.00          388.00         1677.00
2010-2014       93               873.00          238.00         1111.00
2010-2014       94               613.00          184.00          797.00
2010-2014       95               484.00          133.00          617.00
2010-2014       96               444.00          104.00          548.00
2010-2014       97               380.00           86.00          466.00
2010-2014       98               342.00           69.00          411.00
2010-2014       99               229.00           60.00          289.00
2010-2014      100               156.23           27.70          183.93
2010-2014      101               101.18           17.40          118.58
2010-2014      102                63.46           10.89           74.35
2010-2014      103                39.27            6.79           46.06
2010-2014      104                23.95            3.85           27.80
2010-2014      105                13.85            1.10           14.95
2010-2014      106                 7.77            0.29            8.06
2010-2014      107                 4.10            0.00            4.10
2010-2014      108                 1.19            0.00            1.19
2010-2014      109                 0.00            0.00            0.00
2010-2014      110+                0.00            0.00            0.00
